"Vendor","Tax ID","Address","City","Country"
"Softix Providers","FR065748","Rue Haute 32","Lyon","France"
"Vendor","Tax ID","Address","City","Country"
"Vendor","Tax ID","Address","City","Country"
"Softing Company","IT145632","Via Longa 201","Rimini","Italy"
"Vendor","Tax ID","Address","City","Country"
"Mecatronic Group","RO094782","Bulevardul Unirii 11","Iasi","Romania"
"Vendor","Tax ID","Address","City","Country"
"Softix Providers","FR065748","Rue Haute 32","Lyon","France"
"Vendor","Tax ID","Address","City","Country"
"Telephone Systems","RO874232","Intrarea Telefoanelor 112","Bucuresti","Romania"
"Vendor","Tax ID","Address","City","Country"
"Volga Rivers","DE325476","Hoch Strasse 12","Koln","Germany"
"Vendor","Tax ID","Address","City","Country"
"Microtronic Enterprise","IT213456","Via Alta 32","Roma","Italy"
"Vendor","Tax ID","Address","City","Country"
"IT Works","IT231232","Via Prossima 12","Torino","Italy"
"Vendor","Tax ID","Address","City","Country"
"Minitronic Systems","FR453231","Rue Saint Denis 68","Paris","France"
"Vendor","Tax ID","Address","City","Country"
"Office Supplies","RO125678","Bulevardul Papetariei 57","Bucuresti","Romania"
"Vendor","Tax ID","Address","City","Country"
"Limited Adventure","FR121212","Avenue Marcheariere 18","Paris","France"
"Vendor","Tax ID","Address","City","Country"
"Technology Lake","DE763212","Hauptbahnhoff Strasse 21","Stuttgart","Germany"
"Vendor","Tax ID","Address","City","Country"
"Clipboard Papers","RO657483","Strada Agrafei 67","Brasov","Romania"
"Vendor","Tax ID","Address","City","Country"
"Blue Lagoon","FR329083","Avenue Foch 28","Paris","France"
"Vendor","Tax ID","Address","City","Country"
"In Advantage Technologies","IT754893","Via del Colosseo","Roma","Italy"
"Vendor","Tax ID","Address","City","Country"
"Softload Export","RO254678","Strada Lunga 189","Brasov","Romania"
"Vendor","Tax ID","Address","City","Country"
"Star Software","RO892123","Aleea Rozelor 84","Iasi","Romania"
"Vendor","Tax ID","Address","City","Country"
"Moretronic Intelligence","DE987564","Bauhaus Strasse 21","Munchen","Germany"
"Vendor","Tax ID","Address","City","Country"
"Copiers and More","RO874231","Strada Copiatoarelor 33","Brasov","Romania"
"Vendor","Tax ID","Address","City","Country"
"Vendor","Tax ID","Address","City","Country"
"Softing Company","IT145632","Via Longa 201","Rimini","Italy"
"Vendor","Tax ID","Address","City","Country"
"Mecatronic Group","RO094782","Bulevardul Unirii 11","Iasi","Romania"
"Vendor","Tax ID","Address","City","Country"
"Softix Providers","FR065748","Rue Haute 32","Lyon","France"
"Vendor","Tax ID","Address","City","Country"
"Telephone Systems","RO874232","Intrarea Telefoanelor 112","Bucuresti","Romania"
"Vendor","Tax ID","Address","City","Country"
"Volga Rivers","DE325476","Hoch Strasse 12","Koln","Germany"
"Vendor","Tax ID","Address","City","Country"
"Microtronic Enterprise","IT213456","Via Alta 32","Roma","Italy"
"Vendor","Tax ID","Address","City","Country"
"IT Works","IT231232","Via Prossima 12","Torino","Italy"
"Vendor","Tax ID","Address","City","Country"
"Minitronic Systems","FR453231","Rue Saint Denis 68","Paris","France"
"Vendor","Tax ID","Address","City","Country"
"Office Supplies","RO125678","Bulevardul Papetariei 57","Bucuresti","Romania"
"Vendor","Tax ID","Address","City","Country"
"Limited Adventure","FR121212","Avenue Marcheariere 18","Paris","France"
"Vendor","Tax ID","Address","City","Country"
"Technology Lake","DE763212","Hauptbahnhoff Strasse 21","Stuttgart","Germany"
"Vendor","Tax ID","Address","City","Country"
"Clipboard Papers","RO657483","Strada Agrafei 67","Brasov","Romania"
"Vendor","Tax ID","Address","City","Country"
"Blue Lagoon","FR329083","Avenue Foch 28","Paris","France"
"Vendor","Tax ID","Address","City","Country"
"In Advantage Technologies","IT754893","Via del Colosseo","Roma","Italy"
"Vendor","Tax ID","Address","City","Country"
"Softload Export","RO254678","Strada Lunga 189","Brasov","Romania"
"Vendor","Tax ID","Address","City","Country"
"Star Software","RO892123","Aleea Rozelor 84","Iasi","Romania"
"Vendor","Tax ID","Address","City","Country"
"Moretronic Intelligence","DE987564","Bauhaus Strasse 21","Munchen","Germany"
"Vendor","Tax ID","Address","City","Country"
"Copiers and More","RO874231","Strada Copiatoarelor 33","Brasov","Romania"
